review_id,review_text,rating,sentiment
REV_1000,Really solid device! Battery lasts for days and setup was super easy. 10/10 would buy again.,5,Positive
REV_1001,Works exactly as described. Clean interface and super reliable performance.,5,Positive
REV_1002,Super sleek design and very intuitive to use. Best purchase I've made this year. <span>Top notch quality</span>.,5,Positive
REV_1003,COMPLETE DISASTER. BROKE ON THE FIRST TRY. RETURNING IMMEDIATELY FOR A FULL REFUND!,2,Negative
REV_1004,HORRIBLE! It overheats within 10 minutes. Extremely unsafe and cheap plastic smell. Contact refund@support-desk.net for details!!!,1,Negative
REV_1005,"I WAS SKEPTICAL AT FIRST, BUT WOW... TOTALLY IMPRESSED BY THE BUILD QUALITY! 😊✨",4,Positive
REV_1006,Really solid device! Battery lasts for days and setup was super easy. 10/10 would buy again.,4,Positive
REV_1007,"   Must have gadget! I told all my colleagues about this. Fast shipping too: contact support@gadgets.org for info.   

",5,Positive
REV_1008,EXCELLENT CUSTOMER SUPPORT WHEN I HAD A QUESTION. EVERYTHING ARRIVED IN PRISTINE PACKAGING. 👍,4,Positive
REV_1009,SUPER SLEEK DESIGN AND VERY INTUITIVE TO USE. BEST PURCHASE I'VE MADE THIS YEAR. <SPAN>TOP NOTCH QUALITY</SPAN>.,5,Positive
REV_1010,Complete disaster. Broke on the first try. Returning immediately for a full refund! Contact refund@support-desk.net for details!!!,2,Negative
REV_1011,"THIS IS AMAZING!! WORKS SO SMOOTHLY, EXCEEDED ALL MY EXPECTATIONS... WON'T HESITATE TO BUY AGAIN!!",5,Positive
REV_1012,WORST CUSTOMER SUPPORT EVER. REFUSED TO ISSUE A REFUND. TOTALLY REGRET THIS PURCHASE 😡,2,Negative
REV_1013,Worst customer support ever. Refused to issue a refund. Totally regret this purchase 😡,1,Negative
REV_1014,REALLY SOLID DEVICE! BATTERY LASTS FOR DAYS AND SETUP WAS SUPER EASY. 10/10 WOULD BUY AGAIN. Check out https://reviews.store/item271,5,Positive
REV_1015,Really solid device! Battery lasts for days and setup was super easy. 10/10 would buy again. Check out https://reviews.store/item217,4,Positive
REV_1016,Poor quality material. The handle snapped instantly. Very disappointed with this brand.,1,Negative
REV_1017,HORRIBLE! It overheats within 10 minutes. Extremely unsafe and cheap plastic smell. Contact refund@support-desk.net for details!!!,1,Negative
REV_1018,"   GREAT QUALITY FOR THE PRICE. DELIVERED FAST FROM HTTPS://EXAMPLE.COM/SHIPPING. FIVE STARS! ⭐️⭐️⭐️⭐️⭐️ Check out https://reviews.store/item406   

",4,Positive
REV_1019,"   Defective unit received. Customer service was unresponsive at http://bad-help.com. 👎 Contact refund@support-desk.net for details!!!   

",2,Negative
REV_1020,TERRIBLE EXPERIENCE!! STOPPED WORKING AFTER JUST 2 DAYS. <B>DO NOT BUY!</B> <BR/> TOTAL WASTE OF MONEY 😡,2,Negative
REV_1021,"   Really solid device! Battery lasts for days and setup was super easy. 10/10 would buy again.   

",5,Positive
REV_1022,Defective unit received. Customer service was unresponsive at http://bad-help.com. 👎,2,Negative
REV_1023,"   Must have gadget! I told all my colleagues about this. Fast shipping too: contact support@gadgets.org for info.   

",4,Positive
REV_1024,Absolutely <b>loved</b> this product! It worked like a charm right out of the box. <br/> Highly recommended! 😊 Check out https://reviews.store/item482,4,Positive
REV_1025,Terrible experience!! Stopped working after just 2 days. <b>DO NOT BUY!</b> <br/> Total waste of money 😡 Contact refund@support-desk.net for details!!!,1,Negative
REV_1026,"I WAS SKEPTICAL AT FIRST, BUT WOW... TOTALLY IMPRESSED BY THE BUILD QUALITY! 😊✨",4,Positive
REV_1027,"THIS IS AMAZING!! Works so smoothly, exceeded all my expectations... Won't hesitate to buy again!! Check out https://reviews.store/item423",4,Positive
REV_1028,Works exactly as described. Clean interface and super reliable performance. Check out https://reviews.store/item335,5,Positive
REV_1029,"THIS IS AMAZING!! Works so smoothly, exceeded all my expectations... Won't hesitate to buy again!!",4,Positive
REV_1030,"   I was skeptical at first, but wow... totally impressed by the build quality! 😊✨ Check out https://reviews.store/item707   

",4,Positive
REV_1031,REALLY SOLID DEVICE! BATTERY LASTS FOR DAYS AND SETUP WAS SUPER EASY. 10/10 WOULD BUY AGAIN. Check out https://reviews.store/item387,4,Positive
REV_1032,Super sleek design and very intuitive to use. Best purchase I've made this year. <span>Top notch quality</span>. Check out https://reviews.store/item303,5,Positive
REV_1033,MUST HAVE GADGET! I TOLD ALL MY COLLEAGUES ABOUT THIS. FAST SHIPPING TOO: CONTACT SUPPORT@GADGETS.ORG FOR INFO.,4,Positive
