review_id,raw_text,cleaned_text,sentiment
REV_1000,Really solid device! Battery lasts for days and setup was super easy. 10/10 would buy again.,really solid device battery lasts days setup super easy 10 10 would buy,Positive
REV_1001,Works exactly as described. Clean interface and super reliable performance.,works exactly described clean interface super reliable performance,Positive
REV_1002,Super sleek design and very intuitive to use. Best purchase I've made this year. <span>Top notch quality</span>.,super sleek design intuitive use best purchase made year top notch quality,Positive
REV_1003,COMPLETE DISASTER. BROKE ON THE FIRST TRY. RETURNING IMMEDIATELY FOR A FULL REFUND!,complete disaster broke first try returning immediately full refund,Negative
REV_1004,HORRIBLE! It overheats within 10 minutes. Extremely unsafe and cheap plastic smell. Contact refund@support-desk.net for details!!!,horrible overheats within 10 minutes extremely unsafe cheap plastic smell contact details,Negative
REV_1005,"I WAS SKEPTICAL AT FIRST, BUT WOW... TOTALLY IMPRESSED BY THE BUILD QUALITY! 😊✨",skeptical first wow totally impressed build quality,Positive
REV_1006,Really solid device! Battery lasts for days and setup was super easy. 10/10 would buy again.,really solid device battery lasts days setup super easy 10 10 would buy,Positive
REV_1007,"   Must have gadget! I told all my colleagues about this. Fast shipping too: contact support@gadgets.org for info.   

",must gadget told colleagues fast shipping contact info,Positive
REV_1008,EXCELLENT CUSTOMER SUPPORT WHEN I HAD A QUESTION. EVERYTHING ARRIVED IN PRISTINE PACKAGING. 👍,excellent customer support question everything arrived pristine packaging,Positive
REV_1009,SUPER SLEEK DESIGN AND VERY INTUITIVE TO USE. BEST PURCHASE I'VE MADE THIS YEAR. <SPAN>TOP NOTCH QUALITY</SPAN>.,super sleek design intuitive use best purchase made year top notch quality,Positive
REV_1010,Complete disaster. Broke on the first try. Returning immediately for a full refund! Contact refund@support-desk.net for details!!!,complete disaster broke first try returning immediately full refund contact details,Negative
REV_1011,"THIS IS AMAZING!! WORKS SO SMOOTHLY, EXCEEDED ALL MY EXPECTATIONS... WON'T HESITATE TO BUY AGAIN!!",amazing works smoothly exceeded expectations hesitate buy,Positive
REV_1012,WORST CUSTOMER SUPPORT EVER. REFUSED TO ISSUE A REFUND. TOTALLY REGRET THIS PURCHASE 😡,worst customer support ever refused issue refund totally regret purchase,Negative
REV_1013,Worst customer support ever. Refused to issue a refund. Totally regret this purchase 😡,worst customer support ever refused issue refund totally regret purchase,Negative
REV_1014,REALLY SOLID DEVICE! BATTERY LASTS FOR DAYS AND SETUP WAS SUPER EASY. 10/10 WOULD BUY AGAIN. Check out https://reviews.store/item271,really solid device battery lasts days setup super easy 10 10 would buy check,Positive
REV_1015,Really solid device! Battery lasts for days and setup was super easy. 10/10 would buy again. Check out https://reviews.store/item217,really solid device battery lasts days setup super easy 10 10 would buy check,Positive
REV_1016,Poor quality material. The handle snapped instantly. Very disappointed with this brand.,poor quality material handle snapped instantly disappointed brand,Negative
REV_1017,HORRIBLE! It overheats within 10 minutes. Extremely unsafe and cheap plastic smell. Contact refund@support-desk.net for details!!!,horrible overheats within 10 minutes extremely unsafe cheap plastic smell contact details,Negative
REV_1018,"   GREAT QUALITY FOR THE PRICE. DELIVERED FAST FROM HTTPS://EXAMPLE.COM/SHIPPING. FIVE STARS! ⭐️⭐️⭐️⭐️⭐️ Check out https://reviews.store/item406   

",great quality price delivered fast https example com shipping five stars check,Positive
REV_1019,"   Defective unit received. Customer service was unresponsive at http://bad-help.com. 👎 Contact refund@support-desk.net for details!!!   

",defective unit received customer service unresponsive contact details,Negative
REV_1020,TERRIBLE EXPERIENCE!! STOPPED WORKING AFTER JUST 2 DAYS. <B>DO NOT BUY!</B> <BR/> TOTAL WASTE OF MONEY 😡,terrible experience stopped working days buy total waste money,Negative
REV_1021,"   Really solid device! Battery lasts for days and setup was super easy. 10/10 would buy again.   

",really solid device battery lasts days setup super easy 10 10 would buy,Positive
REV_1022,Defective unit received. Customer service was unresponsive at http://bad-help.com. 👎,defective unit received customer service unresponsive,Negative
